amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-country	ship-promotion-id	promotion-ids	is-business-order	purchase-order-number	price-designation	is-replacement-order	order-item-id
111-0475544-6650649	111-0475544-6650649	2024-04-03T16:32:57+00:00	2024-04-04T01:10:47+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.17					0.65			PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	false			false	97502963128241
111-0516435-6996247	111-0516435-6996247	2024-04-01T15:38:26+00:00	2024-04-02T09:22:04+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.74					0.65			PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	false			false	97391579713681
111-0541018-7073013	111-0541018-7073013	2024-04-09T00:18:20+00:00	2024-04-10T07:31:32+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.1					0.65			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97804483833961
111-0541018-7073013	111-0541018-7073013	2024-04-09T00:18:20+00:00	2024-04-10T07:31:32+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	1.1					0.65			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97804483834001
111-0546761-5573008	111-0546761-5573008	2024-04-08T11:58:02+00:00	2024-04-10T14:46:14+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	0.55										false			false	97770713392961
111-0804218-1145802	111-0804218-1145802	2024-04-02T00:16:07+00:00	2024-04-02T19:19:21+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.2					0.65			PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	false			false	97419492465241
111-0885367-4502606	111-0885367-4502606	2024-04-13T04:13:42+00:00	2024-04-13T23:37:49+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.14										false			false	98130224495081
111-0904589-0145822	111-0904589-0145822	2024-04-23T08:01:53+00:00	2024-04-24T09:59:43+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	0.9					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98730230133361
111-0920096-3720261	111-0920096-3720261	2024-04-15T02:16:01+00:00	2024-04-15T19:54:18+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.84					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98225075895601
111-0921298-7473066	111-0921298-7473066	2024-04-07T03:12:16+00:00	2024-04-07T18:26:38+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	1.23	1.0				1.4	1.0		PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97714231612521
111-1025684-0445035	111-1025684-0445035	2024-04-17T17:20:16+00:00	2024-04-19T19:23:44+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	13.99	1.08										false			false	98410869785081
111-1025684-0445035	111-1025684-0445035	2024-04-17T17:20:16+00:00	2024-04-19T19:23:44+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	1.08										false			false	98410869785121
111-1092490-2763412	111-1092490-2763412	2024-04-09T04:33:12+00:00	2024-04-09T09:54:46+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.01										false			false	97813825556161
111-1101319-7202668	111-1101319-7202668	2024-04-29T14:35:24+00:00	2024-04-30T06:11:07+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.99					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	99196525879681
111-1163769-1603465	111-1163769-1603465	2024-04-05T02:28:52+00:00	2024-04-05T09:11:19+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	1.14					1.3			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97576869071081
111-1187283-1427423	111-1187283-1427423	2024-04-07T15:23:14+00:00	2024-04-10T02:32:36+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.82	1.0				1.3	1.0		PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97726657533281
111-1213228-4988220	111-1213228-4988220	2024-04-30T17:59:03+00:00	2024-05-02T18:58:21+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.66					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	99289517479001
111-1221581-7637053	111-1221581-7637053	2024-04-17T12:01:42+00:00	2024-04-17T18:53:58+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	0.97					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98404035021961
111-1348091-7965054	111-1348091-7965054	2024-04-05T17:30:38+00:00	2024-04-06T09:19:27+00:00	Shipped	Amazon	Amazon.com			NextDay	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	1.04	0.46	0.04			1.4			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97634209477641
111-1377665-5346662	111-1377665-5346662	2024-04-23T22:51:12+00:00	2024-04-24T03:47:44+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.93					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98794219357601
111-1423631-9023445	111-1423631-9023445	2024-04-17T14:55:02+00:00	2024-04-17T19:13:00+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	1.12										false			false	98406675711001
111-1586311-0719431	111-1586311-0719431	2024-04-17T11:03:25+00:00	2024-04-19T02:07:38+00:00	Shipped	Amazon	Amazon.com			Standard	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	0.91	0.07				1.0	0.07		US Core Free Shipping Promotion A3JU1FCINF5SD0	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false	98400498393281
111-1608363-8084217	111-1608363-8084217	2024-04-10T22:27:17+00:00	2024-04-13T05:17:44+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.7					1.3			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97959262724961
111-1707893-6505023	111-1707893-6505023	2024-04-10T18:29:13+00:00	2024-04-12T13:48:04+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.78										false			false	97951660241761
111-1719519-4786621	111-1719519-4786621	2024-04-01T16:54:00+00:00	2024-04-02T05:57:29+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.99					0.65			PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	false			false	97393355292761
111-1761359-9814612	111-1761359-9814612	2024-04-14T21:07:05+00:00	2024-04-16T01:29:35+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.12	1.0				1.0	1.0		PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98210938340001
111-1897526-1441006	111-1897526-1441006	2024-04-26T00:52:58+00:00	2024-04-26T06:22:31+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.94										false			false	98981624801561
111-1898769-8537022	111-1898769-8537022	2024-04-24T18:41:45+00:00	2024-04-24T23:48:16+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.91										false			false	98867366490361
111-1966402-1630602	111-1966402-1630602	2024-04-11T23:10:06+00:00	2024-04-12T13:39:18+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	16.99	1.19										false			false	98042999458961
111-1967033-6629865	111-1967033-6629865	2024-04-21T04:13:24+00:00	2024-04-21T22:29:30+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.0					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98620864210321
111-1991615-2256265	111-1991615-2256265	2024-04-01T21:07:27+00:00	2024-04-02T18:57:25+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.05										false			false	97416949239281
111-2005549-7198626	111-2005549-7198626	2024-04-08T00:26:57+00:00	2024-04-09T21:32:47+00:00	Shipped	Amazon	Amazon.com			Standard	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.7	0.11				1.3	0.11		US Core Free Shipping Promotion A3JU1FCINF5SD0,PLM-480830f3-6ebe-4efa-908f-34234083a9ee	US Core Free Shipping Promotion A3JU1FCINF5SD0,PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97747537343041
111-2056290-3773838	111-2056290-3773838	2024-04-29T05:34:03+00:00	2024-04-30T03:16:29+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	0.91										false			false	99180041441681
111-2066121-9513034	111-2066121-9513034	2024-04-07T16:55:18+00:00	2024-04-08T14:30:45+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.82					1.3			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97732829818681
111-2087061-7459443	111-2087061-7459443	2024-04-09T03:04:16+00:00	2024-04-10T05:28:13+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	0.96					1.3			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97810142172601
111-2101381-5167407	111-2101381-5167407	2024-04-07T14:37:07+00:00	2024-04-08T00:10:55+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.91										false			false	97722194301201
111-2158096-8076249	111-2158096-8076249	2024-04-13T05:20:14+00:00	2024-04-15T00:35:37+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.78										false			false	98133685350641
111-2192693-0388219	111-2192693-0388219	2024-04-13T14:54:38+00:00	2024-04-15T13:08:06+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.72					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98147678896721
111-2193703-5804213	111-2193703-5804213	2024-04-30T21:13:32+00:00	2024-04-30T21:19:29+00:00	Cancelled	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Cancelled	0													false			false	99300245482561
111-2209313-5615467	111-2209313-5615467	2024-04-13T21:32:31+00:00	2024-04-15T01:28:23+00:00	Shipped	Amazon	Amazon.com			Expedited	Flat Back Earrings Dainty Gold Earrings for Sensitive Ears Hypoallergenic Earring Set for Multiple Piercing Small Gold Earrings for Women Helix Helix	ER-01-leaf set	B0BZNNN5K8	Shipped	1	USD	12.99	0.87					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98155367343361
111-2299771-1977014	111-2299771-1977014	2024-04-06T23:56:39+00:00	2024-04-08T17:45:14+00:00	Shipped	Amazon	Amazon.com			Standard	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	0.79	4.66				1.4			PLM-480830f3-6ebe-4efa-908f-34234083a9ee	PLM-480830f3-6ebe-4efa-908f-34234083a9ee	false			false	97700563573481
111-2317219-2721832	111-2317219-2721832	2024-04-19T02:25:13+00:00	2024-04-20T08:26:48+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	13.99	1.43										false			false	98490748740241
111-2374919-9993835	111-2374919-9993835	2024-04-02T00:55:20+00:00	2024-04-02T09:52:00+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.07										false			false	97425655511121
111-2467737-2710649	111-2467737-2710649	2024-04-03T01:32:10+00:00	2024-04-04T01:42:34+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.06										false			false	97474584721521
111-2509250-0952236	111-2509250-0952236	2024-04-02T00:26:51+00:00	2024-04-02T14:34:12+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Earrings for Women Trendy Gift for Women	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.14										false			false	97423193305841
111-2730075-3073026	111-2730075-3073026	2024-04-02T23:30:13+00:00	2024-04-03T11:39:14+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.99					0.65			PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	PLM-67e96967-8947-4ab7-8ac5-19817e7b6e8f	false			false	97472584972001
111-2790492-3327413	111-2790492-3327413	2024-04-13T23:42:07+00:00	2024-04-15T19:31:32+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.24					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98165229956361
111-2946163-7814608	111-2946163-7814608	2024-04-20T05:41:57+00:00	2024-04-20T20:53:19+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	1.01										false			false	98576305181561
111-3066592-5777019	111-3066592-5777019	2024-04-19T22:54:26+00:00	2024-04-20T19:12:35+00:00	Shipped	Amazon	Amazon.com			NextDay	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.76	0.68	0.04			1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98558398808801
111-3098484-2025046	111-3098484-2025046	2024-04-24T18:17:18+00:00	2024-04-27T10:22:36+00:00	Shipped	Amazon	Amazon.com			Expedited	Gold Earrings for Women Huggie Earring Sets for Multiple Piercing | Stud Huggie Earrings Earrings for Women Trendy	ER-01-cz stud set	B0BZNMKW3C	Shipped	1	USD	12.99	0.84					1.0			PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	PLM-2253e5de-fced-4cc0-ac15-c9917dfdfbd5	false			false	98867090344121
